MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT
71896902,225000.0,01609,2,2.5,1638
71896945,269000.0,02150,3,1.5,1327
71897146,1079000.0,02467,2,2.5,1485
71897201,279900.0,01106,3,3.0,2283
71897277,314900.0,01077,3,2.5,1740
71897315,449900.0,02056,2,2.0,1839
71897392,329500.0,02649,3,4.0,2550
71897511,134900.0,01826,2,1.5,1044
71897680,549000.0,02176,3,2.5,1800
71897835,34000.0,01118,2,1.0,875
71897916,249900.0,02375,2,1.5,1569
71898350,74900.0,02760,1,1.0,565
71898353,209900.0,03841,2,1.5,1789
71898445,239900.0,02341,1,1.5,1680
71898651,229900.0,02760,3,1.5,1258
71898673,403800.0,02149,2,2.0,1346
71898893,225000.0,02124,2,1.0,935
71899073,239000.0,01960,2,2.0,1020
71899340,365000.0,01581,2,2.0,1423
71899395,649000.0,01930,3,3.5,2854
71899614,460000.0,01803,2,2.0,1263
71899729,79000.0,01524,1,1.0,766
71899837,179900.0,02048,2,2.0,941
71899945,679000.0,01778,2,2.5,2177
71899972,239900.0,02072,4,1.5,1786
71900045,249900.0,02356,1,1.5,1458
71900142,196900.0,02169,2,1.5,864
71900284,189000.0,02045,2,2.0,1212
71900301,165000.0,01945,1,1.0,558
71900477,99000.0,02301,1,1.0,755
71900497,299900.0,01568,3,2.5,1731
71900514,229900.0,01581,2,2.5,1451
71900544,224900.0,02703,3,2.5,1800
71900633,749000.0,02138,2,2.5,1478
71900690,244999.0,02330,2,2.5,1794
71900721,319000.0,02472,2,1.0,874
71901052,222900.0,01510,3,2.5,1344
71901087,349000.0,02472,2,1.0,874
71901116,425000.0,02114,1,1.0,791
71901341,339000.0,02649,2,2.0,1338
71901346,719000.0,02116,2,1.0,798
71901560,569900.0,02453,3,3.0,2000
71901615,1875000.0,02446,4,4.0,3068
71901643,534900.0,02453,3,2.5,2413
71901749,650000.0,02118,2,1.0,831
71901844,268900.0,01938,2,1.5,1161
71901881,299500.0,02540,1,1.0,856
71901890,475000.0,02472,3,2.0,1980
71901954,649000.0,02043,2,2.5,1998
71902032,425000.0,01760,3,1.5,2424
71902108,412000.0,02169,3,2.5,1436
71902229,349000.0,01923,3,2.5,1633
71902256,349000.0,01923,3,2.5,1633
71902296,359900.0,02021,3,2.5,2100
71902352,249500.0,01830,3,2.5,2100
71902474,109900.0,02360,1,1.0,785
71902535,219900.0,02072,2,3.0,1250
71902693,465000.0,02127,2,2.0,951
71902753,269000.0,01938,2,1.5,1161
71902833,399000.0,02131,2,2.0,975
71902867,219000.0,02125,1,1.0,880
71902961,119900.0,02649,2,1.0,864
71903011,1249000.0,02445,4,2.0,2184
71903084,434900.0,01952,3,2.5,1946
71903141,399900.0,01746,2,2.5,1600
